partition (MB),data (GB),run,total_cpu_time (seconds),total_cpu_memory (MB),throughput_bps,total_bits,s3_total_time,s3_avg_time,s3_min_time,s3_max_time,total_duration (s),inference_duration (s)
50,2.0,1,10.95,1464883.82,338647861.42,17203311360.0,0.0,,,,58.63,50.8
50,2.0,mean,10.95,1464883.82,338647861.42,17203311360.0,0.0,,,,58.63,50.8
100,100.0,1,22.63,69701545.4,15517087096.29,818681515200.0,0.0,,,,59.69,52.76
100,100.0,2,24.66,69701563.39,15971157143.97,818681515200.0,0.0,,,,58.09,51.26
100,100.0,3,21.13,69701537.23,12925189693.72,818681515200.0,0.0,,,,73.53,63.34
100,100.0,mean,22.81,69701548.67,14804477977.99,818681515200.0,0.0,,,,63.77,55.79
100,256.0,1,23.6,70916456.83,10196480188.03,832950466560.0,0.0,,,,136.59,81.69
100,256.0,2,22.17,70916447.44,8933402687.26,832950466560.0,0.0,,,,144.66,93.24
100,256.0,3,23.35,70916432.63,11592908372.44,832950466560.0,0.0,,,,124.56,71.85
100,256.0,mean,23.04,70916445.63,10240930415.91,832950466560.0,0.0,,,,135.27,82.26
100,512.0,1,21.48,70916443.9,7419172232.65,832950466560.0,0.0,,,,168.03,112.27
100,512.0,2,21.5,70916429.46,7817460971.94,832950466560.0,0.0,,,,159.61,106.55
100,512.0,3,21.76,70916427.78,4846962272.68,832950466560.0,0.0,,,,226.66,171.85
100,512.0,mean,21.58,70916433.71,6694531825.76,832950466560.0,0.0,,,,184.77,130.22
100,768.0,1,21.37,70916420.68,6329410840.12,832950466560.0,0.0,,,,184.64,131.6
100,768.0,2,20.34,70916393.25,5965411921.22,832950466560.0,0.0,,,,194.48,139.63
100,768.0,3,21.94,70916425.46,5755202560.35,832950466560.0,0.0,,,,194.17,144.73
100,768.0,mean,21.22,70916413.13,6016675107.23,832950466560.0,0.0,,,,191.1,138.65
