data (GB),batch_size,run,partition (MB),total_duration (s),inference_duration (s),batch_varying
timing,512,3,100MB,74.76,63.97,False
timing,512,1,100MB,77.4,68.98,False
timing,512,2,100MB,63.12,58.47,False
test,512,1,100MB,74.8,62.45,False
768GB,512,5,100MB,188.92,133.39,False
768GB,512,4,100MB,219.12,165.56,False
768GB,512,3,100MB,194.17,144.73,False
768GB,512,2,100MB,194.48,139.63,False
768GB,512,1,100MB,184.64,131.6,False
512GB,512,3,100MB,226.66,171.85,False
512GB,512,2,100MB,159.61,106.55,False
512GB,512,1,100MB,168.03,112.27,False
256GB,512,3,100MB,124.56,71.85,False
256GB,512,2,100MB,144.66,93.24,False
256GB,512,1,100MB,136.59,81.69,False
983GB,512,3,100MB,109.01,59.0,False
983GB,512,2,100MB,109.2,58.98,False
983GB,512,1,100MB,116.81,65.13,False
1TB,512,3,100MB,220.97,163.89,False
1TB,512,2,100MB,242.6,184.57,False
1TB,512,1,100MB,246.87,193.24,False
100GB,512,3,100MB,73.53,63.34,False
100GB,512,2,100MB,58.09,51.26,False
100GB,512,1,100MB,59.69,52.76,False
2GB,512,1,50MB,58.63,50.8,False
