partition(MB),data(GB),run,num_worlds,duration,job_id
100,10,1,103,0:00:46,3290261
100,10,2,103,0:00:50,3290036
100,10,3,103,0:00:54,3290374
100,100,1,1024,0:05:26,3290694
100,100,2,1024,0:07:58,3291813
100,100,3,1024,0:05:21,3294003
100,100,1,512,0:05:13,3307205
100,100,2,512,0:10:13,3310476
100,100,1,96,0:06:26,3310236
100,100,1,256,0:04:39,3296835
100,100,2,256,0:03:34,3922532
100,100,3,256,0:05:23,3922137
100,256,1,256,0:08:49,3692213
100,256,2,256,0:08:04,3693314
100,256,3,256,0:07:37,3693706
100,512,1,256,0:13:08,3922900
100,512,2,256,0:12:58,3698318
100,512,3,256,0:12:23,3873573
100,768,1,256,0:17:36,3699402
100,768,2,256,0:18:53,3701107
100,768,3,256,0:26:27,3703301
100,10240,1,256,0:26:07,3446980
100,10240,2,256,0:22:33,3877920
100,10240,3,256,0:25:02,3924146
