data (GB),run,total_execution_time (seconds),total_process_memory (MB),throughput_bps,sample_persec
100,1,25.91,768.95,32250443.18,196.46
100,2,25.73,767.72,32466337.98,197.77
100,3,25.73,766.56,32482564.25,197.87
100,mean,25.79,767.74,32399781.81,197.37
256,2,26.88,768.1,31043441.29,189.1
256,3,26.93,769.24,31028265.41,189.01
256,1,26.73,768.31,31242821.55,190.32
256,mean,26.85,768.55,31104842.75,189.48
512,2,29.06,767.66,29628053.16,180.48
512,3,29.03,768.3,29641059.77,180.56
512,mean,28.31,767.51,30127360.44,183.52
512,1,26.86,766.56,31112968.39,189.53
768,3,26.44,767.79,31653099.75,192.82
768,mean,26.49,767.29,31596972.06,192.48
768,2,26.45,766.54,31650623.33,192.8
768,1,26.57,767.54,31487193.09,191.81
1024,3,26.28,767.91,31880650.0,194.2
1024,2,26.37,767.07,31770779.41,193.54
1024,1,26.42,767.87,31681810.91,192.99
1024,mean,26.36,767.62,31777746.78,193.58
